fkgl,compression_ratio,coherence,coverage,fluency
2.2,0.0026,2.8,1.0,0.6964
5.0,0.0552,2.6,1.0,0.8758
6.3,0.0238,1.4,1.0,0.8561
3.7,0.1886,2.6,1.0,0.7870999999999999
15.0,0.019,1.0,1.0,0.702
9.3,0.2623,1.6,1.0,0.8501
4.2,0.0069,3.2,1.0,0.8012999999999999
6.1,0.138,1.4,1.0,0.851
15.8,0.1762,1.0,1.0,0.6275
3.2,0.0085,3.6,1.0,0.7748999999999999
8.3,0.0054,1.8,1.0,0.9848
16.0,0.0093,1.2,1.0,0.6224
11.0,0.0785,1.6,1.0,0.8606
7.5,0.0036,1.4,1.0,0.9407
4.1,0.1197,2.0,1.0,0.7451000000000001
10.8,0.4098,1.4,1.0,0.8647
5.1,0.2204,1.6,1.0,0.8256999999999999
15.6,0.0156,1.8,1.0,0.6326
6.0,0.0528,1.6,1.0,0.9020999999999999
7.1,0.0478,1.8,1.0,0.9847
13.2,0.0079,1.2,1.0,0.8559
7.3,0.0081,2.4,1.0,0.9561
3.6,0.0095,2.0,1.0,0.6788
10.7,0.0089,1.6,1.0,0.8678
5.6,0.003,1.8,1.0,0.892
8.4,0.0011,1.4,1.0,0.9828
14.8,0.0186,1.2,1.0,0.7070000000000001
6.2,0.0367,2.0,1.0,0.9081999999999999
11.2,0.2613,1.6,1.0,0.8546
7.2,0.0188,1.4,1.0,0.9326000000000001
4.3,0.0627,2.0,1.0,0.8044
23.6,0.2966,1.6,1.0,0.4245
10.3,0.0942,1.8,1.0,0.8258
24.8,0.1335,0.8,1.0,0.394
12.1,0.24,1.8,1.0,0.6698000000000001
10.0,0.01,1.0,1.0,0.9392
7.1,0.165,2.0,1.0,0.9847
12.0,0.0019,1.8,1.0,0.7801
7.1,0.0754,2.4,1.0,0.9847
10.4,0.1396,1.6,1.0,0.8207
10.3,0.1767,1.4,1.0,0.8258
10.3,0.0118,1.4,1.0,0.8258
6.5,0.0801,2.4,1.0,0.9685
11.6,0.0388,1.2,1.0,0.7903
8.2,0.0945,1.8,1.0,0.9879
4.4,0.0152,3.0,1.0,0.8054000000000001
7.7,0.0124,1.2,1.0,0.8916
6.3,0.4104,1.8,1.0,0.8561
15.6,0.368,1.8,1.0,0.6326
8.1,0.0276,1.4,1.0,0.9018
6.5,0.2632,2.8,1.0,0.9695
3.1,0.0158,1.8,1.0,0.7198
7.7,0.151,2.8,1.0,0.8916
10.3,0.0217,2.0,1.0,0.8258
9.3,0.0431,2.2,1.0,0.9053
4.3,0.152,2.0,1.0,0.8044
5.1,0.2434,2.4,1.0,0.8256999999999999
3.4,0.1258,1.8,1.0,0.7258
4.0,0.0595,2.2,1.0,0.7962
12.4,0.0681,1.6,1.0,0.9304
4.4,0.0778,2.6,1.0,0.8604999999999999
13.2,0.061,1.2,1.0,0.8559
9.3,0.2678,2.2,1.0,0.9053
15.0,0.0604,1.2,1.0,0.702
9.6,0.0297,1.2,1.0,0.9493
8.3,0.1004,2.0,1.0,0.9307
12.7,0.0591,1.6,1.0,0.7087
6.4,0.0643,1.2,1.0,0.8581000000000001
6.2,0.0518,2.4,1.0,0.9604
10.3,0.0164,1.4,1.0,0.8258
12.0,0.0838,1.6,1.0,0.7801
8.5,0.0188,1.4,1.0,0.9798
2.4,0.309,2.0,1.0,0.7015
5.2,0.0053,1.4,1.0,0.7735
6.5,0.0064,1.6,1.0,0.9143000000000001
14.8,0.1268,1.8,1.0,0.5466
6.3,0.133,1.8,1.0,0.8561
7.5,0.0071,1.8,1.0,0.9407
6.1,0.0093,2.0,1.0,0.851
4.1,0.2184,2.2,1.0,0.7972
12.7,0.0049,2.0,1.0,0.7087
12.3,0.011,2.2,1.0,0.6106
15.4,0.0118,1.4,1.0,0.42310000000000003
11.4,0.0018,2.0,1.0,0.7412
4.4,0.0781,1.6,1.0,0.7512000000000001
5.4,0.014,1.6,1.0,0.8869
7.0,0.5431,2.2,1.0,0.8734000000000001
10.5,0.004,1.4,1.0,0.8187
15.0,0.0183,1.2,1.0,0.702
8.7,0.0058,1.2,1.0,0.9732
6.1,0.026,2.6,1.0,0.9573
13.4,0.0214,1.2,1.0,0.8509
3.9,0.022,2.4,1.0,0.7942
4.3,0.0106,2.2,1.0,0.8044
4.4,0.0132,2.2,1.0,0.8595
3.5,0.0345,2.6,1.0,0.7299
3.1,0.1921,3.4,1.0,0.7729
7.4,0.1748,1.6,1.0,0.9928
17.8,0.2328,1.0,1.0,0.46840000000000004
7.2,0.0087,1.8,1.0,0.9867
10.1,0.0745,1.6,1.0,0.8309
15.6,0.1552,1.0,1.0,0.6326
5.3,0.0575,2.6,1.0,0.8297
8.2,0.0074,1.8,1.0,0.9879
3.6,0.2837,2.2,1.0,0.7309000000000001
6.9,0.1041,1.4,1.0,0.8713
11.4,0.1037,1.8,1.0,0.7963
10.3,0.25,1.8,1.0,0.9321
8.2,0.0219,2.2,1.0,0.9327000000000001
7.3,0.0101,1.8,1.0,0.9888
9.9,0.1111,1.4,1.0,0.9422
9.3,0.0456,1.6,1.0,0.9053
10.3,0.0229,1.4,1.0,0.8238000000000001
24.4,0.017,0.8,1.0,0.4042
8.3,0.2031,1.4,1.0,0.9848
4.1,0.0256,2.0,1.0,0.7983
9.3,0.061,1.6,1.0,0.9053
4.2,0.0231,4.2,1.0,0.8003
5.5,0.0332,2.2,1.0,0.889
6.8,0.0269,1.8,1.0,0.9765999999999999
5.6,0.0051,2.2,1.0,0.892
3.5,0.0868,2.0,1.0,0.7299
6.4,0.0387,1.4,1.0,0.8581000000000001
3.3,0.0118,3.4,1.0,0.778
6.9,0.0437,2.0,1.0,0.9786
5.7,0.0165,1.8,1.0,0.8399
13.4,0.3007,1.2,1.0,0.7967
26.4,0.0555,0.8,1.0,0.2451000000000001
25.2,0.0138,1.0,1.0,0.27549999999999997
11.0,0.0709,2.2,1.0,0.7513000000000001
13.4,0.0373,1.8,1.0,0.528
5.0,0.0245,1.8,1.0,0.8758
11.0,0.0166,2.4,1.0,0.8606
10.7,0.0546,1.6,1.0,0.8678
4.4,0.0147,1.8,1.0,0.8073999999999999
10.9,0.0373,1.2,1.0,0.9207
10.3,0.2824,1.4,1.0,0.8238000000000001
6.2,0.3681,2.0,1.0,0.9062
11.9,0.4248,1.4,1.0,0.7832
4.4,0.3913,2.2,1.0,0.8073999999999999
13.0,0.0454,1.4,1.0,0.7016
6.3,0.1287,3.2,1.0,0.8561
7.7,0.0711,1.8,1.0,0.9469
3.4,0.0405,2.6,1.0,0.7258
7.5,0.023,1.8,1.0,0.9407
10.3,0.0683,2.0,1.0,0.7716
12.8,0.0862,1.0,1.0,0.9202
11.0,0.2158,1.4,1.0,0.8606
8.5,0.2345,1.4,1.0,0.9798
3.7,0.1451,2.0,1.0,0.7870999999999999
9.4,0.0945,2.0,1.0,0.8481000000000001
10.6,0.1416,2.0,1.0,0.8708
4.4,0.0051,2.0,1.0,0.8073999999999999
7.3,0.0581,1.8,1.0,0.9356
11.2,0.0432,1.4,1.0,0.8546
11.6,0.0028,1.6,1.0,0.7903
6.2,0.0209,1.8,1.0,0.9081999999999999
16.0,0.0038,1.4,1.0,0.6224
5.5,0.1891,1.8,1.0,0.7817000000000001
8.3,0.0031,1.6,1.0,0.9848
6.6,0.0107,1.8,1.0,0.9164
6.1,0.0082,2.2,1.0,0.9042
12.8,0.0374,1.2,1.0,0.7057
6.6,0.0077,2.6,1.0,0.9715
3.3,0.1319,2.8,1.0,0.7768999999999999
7.3,0.0104,1.6,1.0,0.9908
10.7,0.0128,1.4,1.0,0.8678
5.4,0.0033,2.6,1.0,0.8318000000000001
11.8,0.0211,1.8,1.0,0.7862
5.4,0.0288,1.4,1.0,0.7786
11.9,0.0162,1.2,1.0,0.7832
8.4,0.1751,1.4,1.0,0.9828
9.3,0.065,1.6,1.0,0.9033
6.1,0.0201,2.0,1.0,0.851
7.4,0.0337,2.2,1.0,0.9928
6.0,0.0217,1.6,1.0,0.9020999999999999
7.2,0.009,1.8,1.0,0.9591
14.5,0.0267,1.2,1.0,0.5527
6.2,0.0265,2.4,1.0,0.9081999999999999
5.1,0.0055,2.0,1.0,0.8256999999999999
7.4,0.0144,1.4,1.0,0.9377
6.0,0.122,1.8,1.0,0.9020999999999999
12.2,0.0296,1.6,1.0,0.6667000000000001
8.5,0.0271,2.4,1.0,0.8714999999999999
8.2,0.0139,2.8,1.0,0.9327000000000001
10.4,0.0038,1.8,1.0,0.8207
4.5,0.041,2.0,1.0,0.7553
7.3,0.2329,2.2,1.0,0.9888
4.3,0.008,1.4,1.0,0.7492000000000001
8.2,0.055,1.8,1.0,0.9879
16.4,0.1784,1.6,1.0,0.5581
6.2,0.2348,1.4,1.0,0.8531
2.9,0.008,2.2,1.0,0.7137
9.5,0.0121,1.6,1.0,0.9002
1.7,0.2735,2.0,1.0,0.6279999999999999
16.6,0.0508,1.2,1.0,0.5531
6.2,0.0242,2.2,1.0,0.9604
15.2,0.205,1.0,1.0,0.6969000000000001
11.9,0.0242,1.4,1.0,0.7832
11.4,0.0804,2.0,1.0,0.6891
7.6,0.0038,1.8,1.0,0.9427
5.9,0.2121,1.6,1.0,0.9001
6.1,0.0556,1.6,1.0,0.851
4.0,0.0991,3.6,1.0,0.7962
8.1,0.3357,4.6,1.0,0.9347
1.9,0.0513,3.2,1.0,0.6340999999999999
4.4,0.2842,2.2,1.0,0.8054000000000001
9.1,0.0141,2.4,1.0,0.9104
13.7,0.0553,1.4,1.0,0.6271
9.5,0.267,2.0,1.0,0.9002
11.9,0.2143,1.4,1.0,0.7832
6.2,0.0446,2.0,1.0,0.9062
8.2,0.0129,1.4,1.0,0.9059
9.3,0.0206,1.6,1.0,0.9053
5.9,0.0201,2.0,1.0,0.8981
8.0,0.0257,1.6,1.0,0.993
6.7,0.2919,2.0,1.0,0.9746
2.4,0.0522,2.8,1.0,0.6462999999999999
8.5,0.2562,1.6,1.0,0.9246
7.7,0.0416,1.8,1.0,0.9469
3.3,0.0082,1.8,1.0,0.6706999999999999
6.6,0.3636,2.8,1.0,0.9715
7.8,0.159,2.8,1.0,0.8896999999999999
13.6,0.4017,1.8,1.0,0.7916
11.2,0.0436,1.8,1.0,0.8546
6.3,0.0066,2.6,1.0,0.8561
10.3,0.1433,1.4,1.0,0.8258
12.3,0.0082,1.2,1.0,0.9355
5.5,0.0103,2.0,1.0,0.889
8.6,0.01,1.2,1.0,0.9702000000000001
8.7,0.0101,1.8,1.0,0.8674000000000001
6.5,0.0444,2.0,1.0,0.9695
7.1,0.0079,1.4,1.0,0.9306
6.2,0.0048,1.4,1.0,0.9062
11.1,0.0395,2.0,1.0,0.7493000000000001
5.4,0.0304,2.2,1.0,0.8869
8.1,0.0911,1.6,1.0,0.9347
4.1,0.0506,2.0,1.0,0.7972
7.4,0.0369,1.6,1.0,0.9377
5.1,0.2895,2.0,1.0,0.8236
13.2,0.0251,1.4,1.0,0.6955
6.2,0.0412,1.8,1.0,0.9062
7.3,0.0017,1.2,1.0,0.9356
11.3,0.1401,2.2,1.0,0.6911
6.2,0.127,1.8,1.0,0.8531
5.4,0.2189,2.0,1.0,0.8869
8.9,0.1763,1.6,1.0,0.9762
8.4,0.0816,2.0,1.0,0.9828
3.6,0.0188,2.0,1.0,0.7309000000000001
11.0,0.1779,1.6,1.0,0.8606
4.1,0.0207,2.0,1.0,0.7983
3.6,0.2654,3.4,1.0,0.7861
5.5,0.0318,1.8,1.0,0.889
4.4,0.0034,3.0,1.0,0.8054000000000001
7.5,0.0719,1.4,1.0,0.9407
10.2,0.3649,1.4,1.0,0.9351
11.4,0.0272,1.6,1.0,0.7963
8.2,0.1139,1.4,1.0,0.9879
4.2,0.0181,1.6,1.0,0.7472
12.6,0.0442,1.2,1.0,0.9253
11.2,0.0482,1.4,1.0,0.7463
5.7,0.0171,2.4,1.0,0.894
3.0,0.0067,3.2,1.0,0.7157
3.6,0.0309,1.8,1.0,0.7309000000000001
5.4,0.0153,2.0,1.0,0.8869
5.6,0.0227,2.0,1.0,0.892
4.5,0.0298,2.0,1.0,0.8094
5.3,0.0205,1.6,1.0,0.8297
11.1,0.0327,1.2,1.0,0.8575999999999999
4.0,0.1358,1.8,1.0,0.7411
10.3,0.054,1.8,1.0,0.8258
5.1,0.0787,1.6,1.0,0.8256999999999999
7.4,0.0176,1.2,1.0,0.9928
5.5,0.0912,2.0,1.0,0.89
3.5,0.0164,2.0,1.0,0.7279
15.8,0.2323,1.2,1.0,0.6275
7.4,0.0441,1.8,1.0,0.8314
4.3,0.0765,2.8,1.0,0.8044
9.8,0.0312,1.4,1.0,0.9452
8.1,0.0186,1.8,1.0,0.9368
6.2,0.0212,2.0,1.0,0.9081999999999999
12.2,0.0364,2.0,1.0,0.6667000000000001
5.5,0.184,2.0,1.0,0.89
6.4,0.0726,1.8,1.0,0.9123
4.4,0.0331,3.2,1.0,0.8073999999999999
10.8,0.1054,2.2,1.0,0.8647
5.0,0.0705,2.0,1.0,0.8758
5.4,0.048,2.0,1.0,0.8869
11.8,0.0431,1.4,1.0,0.7862
4.3,0.0117,2.0,1.0,0.8044
8.3,0.0509,2.0,1.0,0.9307
7.8,0.0059,1.2,1.0,0.8956999999999999
12.0,0.0026,1.6,1.0,0.7801
9.3,0.244,1.8,1.0,0.9033
24.4,0.0476,1.2,1.0,0.45840000000000003
7.1,0.0187,1.2,1.0,0.9306
11.8,0.2994,1.6,1.0,0.7862
10.3,0.2568,1.6,1.0,0.8258
6.8,0.0092,2.8,1.0,0.9693
8.2,0.0135,2.4,1.0,0.9879
5.3,0.3118,1.2,1.0,0.7766
3.7,0.1039,2.4,1.0,0.7329000000000001
6.2,0.0879,1.6,1.0,0.8531
11.2,0.0494,1.6,1.0,0.7463
15.2,0.0984,1.0,1.0,0.6969000000000001
4.6,0.004,3.0,1.0,0.8125
7.2,0.0967,1.8,1.0,0.9867
6.3,0.3548,2.4,1.0,0.9103
11.2,0.0236,2.2,1.0,0.7463
11.4,0.2338,1.6,1.0,0.7412
12.4,0.0171,1.4,1.0,0.6617
2.6,0.1396,2.2,1.0,0.7055
17.6,0.0161,1.4,1.0,0.47350000000000003
6.2,0.0076,1.8,1.0,0.9081999999999999
6.1,0.0321,1.8,1.0,0.851
2.7,0.1731,3.2,1.0,0.7076
10.3,0.2237,1.8,1.0,0.8238000000000001
7.3,0.3118,2.0,1.0,0.9356
11.4,0.0113,1.6,1.0,0.7412
10.2,0.0203,1.2,1.0,0.9351
17.8,0.003,1.0,1.0,0.46840000000000004
14.4,0.2198,1.0,1.0,0.7713
7.5,0.0104,2.0,1.0,0.9949
5.0,0.0919,2.4,1.0,0.8758
5.0,0.0962,2.0,1.0,0.8747
6.5,0.311,2.6,1.0,0.9695
5.0,0.0031,1.8,1.0,0.8216
5.7,0.0944,1.6,1.0,0.7867
3.3,0.1075,2.2,1.0,0.6706999999999999
5.0,0.0782,2.8,1.0,0.8747
4.7,0.1873,3.2,1.0,0.8676
8.2,0.0082,1.4,1.0,0.9059
4.5,0.0423,2.6,1.0,0.8094
10.1,0.0754,1.6,1.0,0.8288
7.1,0.0032,1.4,1.0,0.9306
5.9,0.0269,1.6,1.0,0.8981
8.9,0.0687,1.4,1.0,0.9762
15.8,0.0196,1.6,1.0,0.6275
6.1,0.0095,1.8,1.0,0.9593
13.0,0.0059,1.6,1.0,0.7016
10.4,0.297,1.8,1.0,0.8207
14.0,0.0197,1.2,1.0,0.7815
11.6,0.0317,2.2,1.0,0.7903
10.3,0.0246,1.6,1.0,0.9321
4.2,0.0385,2.8,1.0,0.8003
12.7,0.3629,1.8,1.0,0.7087
11.8,0.0185,2.2,1.0,0.7862
8.2,0.152,2.6,1.0,0.9327000000000001
5.1,0.0046,1.6,1.0,0.8236
6.0,0.0131,1.6,1.0,0.9020999999999999
9.3,0.25,1.8,1.0,0.8501
9.2,0.0053,2.4,1.0,0.8522
11.2,0.0065,1.8,1.0,0.8546
7.3,0.0142,1.8,1.0,0.9888
5.0,0.019,1.8,1.0,0.8747
12.6,0.0101,1.2,1.0,0.9253
9.4,0.0119,2.0,1.0,0.8481000000000001
11.2,0.2766,1.4,1.0,0.8546
7.7,0.2311,1.4,1.0,0.8916
12.7,0.0141,1.2,1.0,0.7087
